Name,IrsSubsection,Location,Ein,Mission
Lund Family Center Inc.,501(c)(3) Public Charity,"South Burlington, VT",03-0179434,"lund helps children thrive by empowering families to break cycles of poverty, addiction and abuse.  lund offers hope and opportunity to families through education, treatment, family support and adoption."
Sterling College,501(c)(3) Public Charity,"Craftsbury Common, VT",03-0197728,"sterling college uses education as a force to advance ecological thinking and action through affordable experiential learning that prepares people to be knowledgeable, skilled, and responsible leaders in the communities in which they live. we address critical ecological problems caused by unlimited growth and consumption that is destroying the planet as we have known it, such as: fossil fuel dependence and rapid climate change, destruction of biodiversity and loss of wild places, promotion of harmful agricultural practices that threaten human and natural communities, persistence of structural oppression that impacts human and ecological wellbeing, and the deterioration of civil society through estrangement from community, nature, and place."
HIMALAYAN CATARACT PROJECT INC,501(c)(3) Public Charity,"Waterbury, VT",03-0362926,the himalayan cataract project works to cure needless blindness with the highest quality care at the lowest cost.
One Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Springfield, VT",03-6008252,"the purpose of this credit union is to promote thrift among its members by affording them an opportunity for accumulating their savings, to create for them a source of credit for provident or productive purposes at a reasonable rate of interest, and to provide the opportunity for the members to use and control their money for their mutual benefit."
Vermont College of Fine Arts Inc,501(c)(3) Public Charity,"Montpelier, VT",20-8384273,"anchored on its historic campus in montpelier, vermont, vcfa is a global community of artists continually redefining what it means to be an arts college. we measure our success by our ability to foster the excellence of emerging and established practitioners. we believe that the arts are central to the human experience and have the ability not only to reflect reality but also to create it."
Northeast Washington County Community Health Inc,501(c)(3) Public Charity,"Plainfield, VT",03-0240129,"to provide comprehensive health services to meet community needs, regardless of ability to pay; to ensure that those services are of highquality and are patient oriented; to provide comprehensive health education."
GREEN MOUNTAIN SUPPORT SERVICES INC,501(c)(3) Public Charity,"Morrisville, VT",03-0314664,"we are committed to the following:
services focus on the individuality of each person and are relevant to the experiences and expectation of each individual.
by improving the quality of life for the people we serve, the quality of life in the community is enhanced as a whole.
to expect providers to be aware of the influence they have over people’s lives, and that their interactions will be respectful while promoting dignity.
empowerment and decisions should be passed to the individual and their families whenever possible and that treatment and recovery plans should always reflect their values, needs and service agreements.
natural families and natural supports are ideally the most effective avenues to ensure equality, acceptance and normalized community involvement"
Addison County Home Health & Hospice Inc,501(c)(3) Public Charity,"Middlebury, VT",23-7032401,"in collaboration with patients, families, and other community providers, addison county home health & hospice, a nonprofit agency, enhances the health, dignity, and independence of addison county residents through comprehensive, patient-centered home health and hospice care."
River Valley Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Brattleboro, VT",03-0196668,to operate a state chartered credit union to provide loan and deposit services for the benefit of its members.
FLYNN CENTER FOR THE PERFORMING ARTS LTD,501(c)(3) Public Charity,"Burlington, VT",03-0277052,"the flynn center for the performing arts fosters the enjoyment, understanding, and development of the performing arts in vermont through diverse and engaging artistic experiences."
"Population Media Center, Inc.",501(c)(3) Public Charity,"South Burlington, VT",03-0358029,"to use entertainment-education and mass media to promote social and cultural change by addressing the interconnected issues of the full rights of women and girls, population, and the environment. our goals are to empower people to live healthier and more prosperous lives and to stabilize global population at a level at which people can live sustainably with the world’s renewable resources."
Hall Art Foundation Inc,501(c)(3) Private Operating Foundation,"Reading, VT",26-1386173,this organization has not provided guidestar with a mission statement.
